host-relay init
host-TS init
SEMA4_mod init
host-shm init
host-create init
key:800  id:16711683  ptr:e5470000
finish init shmem
Start tracing......
tb total cycle cnt = 2550, load = 0, store = 0
tb total cycle cnt = 2560, load = 0, store = 0
tb total cycle cnt = 2570, load = 0, store = 0
tb total cycle cnt = 2580, load = 0, store = 0
tb total cycle cnt = 2590, load = 0, store = 0
tb total cycle cnt = 2600, load = 0, store = 0
tb total cycle cnt = 2610, load = 0, store = 0
tb total cycle cnt = 2620, load = 0, store = 0
tb total cycle cnt = 2630, load = 0, store = 0
tb total cycle cnt = 2640, load = 0, store = 0
tb total cycle cnt = 2650, load = 0, store = 0
tb total cycle cnt = 2660, load = 0, store = 0
tb total cycle cnt = 2670, load = 0, store = 0
tb total cycle cnt = 2680, load = 0, store = 0
tb total cycle cnt = 2690, load = 0, store = 0
tb total cycle cnt = 2700, load = 0, store = 0
tb total cycle cnt = 2710, load = 0, store = 0
tb total cycle cnt = 2720, load = 0, store = 0
tb total cycle cnt = 2730, load = 0, store = 0
tb total cycle cnt = 2740, load = 0, store = 0
tb total cycle cnt = 2750, load = 0, store = 0
tb total cycle cnt = 2760, load = 0, store = 0
tb total cycle cnt = 2770, load = 0, store = 0
tb total cycle cnt = 2780, load = 0, store = 0
tb total cycle cnt = 2790, load = 0, store = 0
tb total cycle cnt = 2800, load = 0, store = 0
tb total cycle cnt = 2810, load = 0, store = 0
tb total cycle cnt = 2820, load = 0, store = 0
tb total cycle cnt = 2830, load = 0, store = 0
tb total cycle cnt = 2840, load = 0, store = 0
tb total cycle cnt = 2850, load = 0, store = 0
tb total cycle cnt = 2860, load = 0, store = 0
tb total cycle cnt = 2870, load = 0, store = 0
tb total cycle cnt = 2880, load = 0, store = 0
tb total cycle cnt = 2890, load = 0, store = 0
tb total cycle cnt = 2900, load = 0, store = 0
tb total cycle cnt = 2910, load = 0, store = 0
tb total cycle cnt = 2920, load = 0, store = 0
tb total cycle cnt = 2930, load = 0, store = 0
tb total cycle cnt = 2940, load = 0, store = 0
tb total cycle cnt = 2950, load = 0, store = 0
tb total cycle cnt = 2960, load = 0, store = 0
tb total cycle cnt = 2970, load = 0, store = 0
tb total cycle cnt = 2980, load = 0, store = 0
tb total cycle cnt = 2990, load = 0, store = 0
tb total cycle cnt = 3000, load = 0, store = 0
tb total cycle cnt = 3010, load = 0, store = 0
tb total cycle cnt = 3020, load = 0, store = 0
tb total cycle cnt = 3030, load = 0, store = 0
tb total cycle cnt = 3040, load = 0, store = 0
tb total cycle cnt = 3050, load = 0, store = 0
tb total cycle cnt = 3060, load = 0, store = 0
tb total cycle cnt = 3070, load = 0, store = 0
tb total cycle cnt = 3080, load = 0, store = 0
tb total cycle cnt = 3090, load = 0, store = 0
tb total cycle cnt = 3100, load = 0, store = 0
tb total cycle cnt = 3110, load = 0, store = 0
tb total cycle cnt = 3120, load = 0, store = 0
tb total cycle cnt = 3130, load = 0, store = 0
tb total cycle cnt = 3140, load = 0, store = 0
tb total cycle cnt = 3150, load = 0, store = 0
tb total cycle cnt = 3160, load = 0, store = 0
tb total cycle cnt = 3170, load = 0, store = 0
tb total cycle cnt = 3180, load = 0, store = 0
tb total cycle cnt = 3190, load = 0, store = 0
tb total cycle cnt = 3200, load = 0, store = 0
tb total cycle cnt = 3210, load = 0, store = 0
tb total cycle cnt = 3220, load = 0, store = 0
tb total cycle cnt = 3230, load = 0, store = 0
tb total cycle cnt = 3240, load = 0, store = 0
tb total cycle cnt = 3250, load = 0, store = 0
tb total cycle cnt = 3260, load = 0, store = 0
tb total cycle cnt = 3270, load = 0, store = 0
tb total cycle cnt = 3280, load = 0, store = 0
tb total cycle cnt = 3290, load = 0, store = 0
tb total cycle cnt = 3300, load = 0, store = 0
tb total cycle cnt = 3310, load = 0, store = 0
tb total cycle cnt = 3320, load = 0, store = 0
tb total cycle cnt = 3330, load = 0, store = 0
tb total cycle cnt = 3340, load = 0, store = 0
tb total cycle cnt = 3350, load = 0, store = 0
tb total cycle cnt = 3360, load = 0, store = 0
tb total cycle cnt = 3370, load = 0, store = 0
tb total cycle cnt = 3380, load = 0, store = 0
tb total cycle cnt = 3390, load = 0, store = 0
tb total cycle cnt = 3400, load = 0, store = 0
tb total cycle cnt = 3410, load = 0, store = 0
tb total cycle cnt = 3420, load = 0, store = 0
tb total cycle cnt = 3430, load = 0, store = 0
tb total cycle cnt = 3440, load = 0, store = 0
tb total cycle cnt = 3450, load = 0, store = 0
tb total cycle cnt = 3460, load = 0, store = 0
tb total cycle cnt = 3470, load = 0, store = 0
tb total cycle cnt = 3480, load = 0, store = 0
tb total cycle cnt = 3490, load = 0, store = 0
tb total cycle cnt = 3500, load = 0, store = 0
tb total cycle cnt = 3510, load = 0, store = 0
tb total cycle cnt = 3520, load = 0, store = 0
tb total cycle cnt = 3530, load = 0, store = 0
tb total cycle cnt = 3540, load = 0, store = 0
tb total cycle cnt = 3550, load = 0, store = 0
tb total cycle cnt = 3560, load = 0, store = 0
tb total cycle cnt = 3570, load = 0, store = 0
tb total cycle cnt = 3580, load = 0, store = 0
tb total cycle cnt = 3590, load = 0, store = 0
tb total cycle cnt = 3600, load = 0, store = 0
tb total cycle cnt = 3610, load = 0, store = 0
tb total cycle cnt = 3620, load = 0, store = 0
tb total cycle cnt = 3630, load = 0, store = 0
tb total cycle cnt = 3640, load = 0, store = 0
tb total cycle cnt = 3650, load = 0, store = 0
tb total cycle cnt = 3660, load = 0, store = 0
tb total cycle cnt = 3670, load = 0, store = 0
tb total cycle cnt = 3680, load = 0, store = 0
tb total cycle cnt = 3690, load = 0, store = 0
tb total cycle cnt = 3700, load = 0, store = 0
tb total cycle cnt = 3710, load = 0, store = 0
tb total cycle cnt = 3720, load = 0, store = 0
tb total cycle cnt = 3730, load = 0, store = 0
tb total cycle cnt = 3740, load = 0, store = 0
tb total cycle cnt = 3750, load = 0, store = 0
tb total cycle cnt = 3760, load = 0, store = 0
tb total cycle cnt = 3770, load = 0, store = 0
